instanceLabel,item,itemLabel,entity_id,related_works_count
human,http://www.wikidata.org/entity/Q5387848,Erica-Irene Daes,Q5387848,0
human,http://www.wikidata.org/entity/Q5562980,Ginetta Sagan,Q5562980,0
human,http://www.wikidata.org/entity/Q5628316,H. Jack Geiger,Q5628316,0
human,http://www.wikidata.org/entity/Q5724170,Beatriz H. C. Aicardi de Neuhaus,Q5724170,0
human,http://www.wikidata.org/entity/Q6018294,Mirta Acuña de Baravalle,Q6018294,0
human,http://www.wikidata.org/entity/Q552290,Balys Gajauskas,Q552290,0
human,http://www.wikidata.org/entity/Q545488,Ralph Abernathy,Q545488,1
human,http://www.wikidata.org/entity/Q13562280,Willye Dennis,Q13562280,0
human,http://www.wikidata.org/entity/Q15661601,Herman Kahan,Q15661601,0
human,http://www.wikidata.org/entity/Q6969814,Nathaniel R. Jones,Q6969814,0
human,http://www.wikidata.org/entity/Q7298972,Raymond Louw,Q7298972,0
human,http://www.wikidata.org/entity/Q51716671,Samuel B. McKinney,Q51716671,0
human,http://www.wikidata.org/entity/Q59938331,Ronald Carroll McDonald,Q59938331,0
human,http://www.wikidata.org/entity/Q108747403,Syra Villalaín de Franconetti,Q108747403,0
human,http://www.wikidata.org/entity/Q293156,Lyudmila Alexeyeva,Q293156,0
human,http://www.wikidata.org/entity/Q573532,Anthony Lewis,Q573532,3
human,http://www.wikidata.org/entity/Q4346118,Martin Ennals,Q4346118,0
human,http://www.wikidata.org/entity/Q1124639,Nélida Gómez de Navajas,Q1124639,0
human,http://www.wikidata.org/entity/Q26502776,Paul O' Higgins,Q26502776,0
human,http://www.wikidata.org/entity/Q5931434,Joan Jara,Q5931434,0
human,http://www.wikidata.org/entity/Q5657537,Adelina Dematti de Alaye,Q5657537,0
human,http://www.wikidata.org/entity/Q7360507,Roland de Corneille,Q7360507,0
human,http://www.wikidata.org/entity/Q60031132,Lesley Bartlett,Q60031132,0
human,http://www.wikidata.org/entity/Q18391,Elie Wiesel,Q18391,25
human,http://www.wikidata.org/entity/Q226030,Irena Veisaitė,Q226030,0
human,http://www.wikidata.org/entity/Q5556269,Gheorghe Briceag,Q5556269,0
human,http://www.wikidata.org/entity/Q15993334,Demetrius Newton,Q15993334,0
human,http://www.wikidata.org/entity/Q29015907,Lillie Mae Bradford,Q29015907,0
human,http://www.wikidata.org/entity/Q8027,Martin Luther King Jr.,Q8027,25
human,http://www.wikidata.org/entity/Q4252319,Alexander Lavut,Q4252319,0
